---------after nodup code------------
('c0018', 'passing node name to python file')
('/tmp/pb526/2594437', 'passing /tmp path')
('/home/icsefs03/pb526/KM/LAM/epAB_1.45/US/I_LAM/295/US-70_new/new', 'passing working dir path')
copied files from c0018 node:6840 sec
copied files from c0018 node:13680 sec
copied files from c0018 node:20520 sec
copied files from c0018 node:27360 sec
copied files from c0018 node:34200 sec
copied files from c0018 node:41040 sec
copied files from c0018 node:47880 sec
copied files from c0018 node:54720 sec
copied files from c0018 node:61560 sec
copied files from c0018 node:68400 sec
copied files from c0018 node:75240 sec
copied files from c0018 node:82080 sec
copied files from c0018 node:88920 sec
copied files from c0018 node:95760 sec
copied files from c0018 node:102600 sec
copied files from c0018 node:109440 sec
copied files from c0018 node:116280 sec
copied files from c0018 node:123120 sec
copied files from c0018 node:129960 sec
copied files from c0018 node:136800 sec
copied files from c0018 node:143640 sec
copied files from c0018 node:150480 sec
copied files from c0018 node:157320 sec
copied files from c0018 node:164160 sec
copied files from c0018 node:171000 sec
copied files from c0018 node:177840 sec
copied files from c0018 node:184680 sec
copied files from c0018 node:191520 sec
copied files from c0018 node:198360 sec
copied files from c0018 node:205200 sec
copied files from c0018 node:212040 sec
copied files from c0018 node:218880 sec
copied files from c0018 node:225720 sec
copied files from c0018 node:232560 sec
copied files from c0018 node:239400 sec
copied files from c0018 node:246240 sec
copied files from c0018 node:253080 sec
copied files from c0018 node:259920 sec
copied files from c0018 node:266760 sec
copied files from c0018 node:273600 sec
copied files from c0018 node:280440 sec
copied files from c0018 node:287280 sec
copied files from c0018 node:294120 sec
copied files from c0018 node:300960 sec
copied files from c0018 node:307800 sec
copied files from c0018 node:314640 sec
copied files from c0018 node:321480 sec
copied files from c0018 node:328320 sec
copied files from c0018 node:335160 sec
copied files from c0018 node:342000 sec
copied files from c0018 node:348840 sec
copied files from c0018 node:355680 sec
copied files from c0018 node:362520 sec
copied files from c0018 node:369360 sec
copied files from c0018 node:376200 sec
copied files from c0018 node:383040 sec
copied files from c0018 node:389880 sec
copied files from c0018 node:396720 sec
copied files from c0018 node:403560 sec
copied files from c0018 node:410400 sec
copied files from c0018 node:417240 sec
copied files from c0018 node:424080 sec
copied files from c0018 node:430920 sec
copied files from c0018 node:437760 sec
copied files from c0018 node:444600 sec
copied files from c0018 node:451440 sec
copied files from c0018 node:458280 sec
copied files from c0018 node:465120 sec
copied files from c0018 node:471960 sec
copied files from c0018 node:478800 sec
copied files from c0018 node:485640 sec
copied files from c0018 node:492480 sec
copied files from c0018 node:499320 sec
copied files from c0018 node:506160 sec
copied files from c0018 node:513000 sec
copied files from c0018 node:519840 sec
copied files from c0018 node:526680 sec
copied files from c0018 node:533520 sec
copied files from c0018 node:540360 sec
copied files from c0018 node:547200 sec
copied files from c0018 node:554040 sec
copied files from c0018 node:560880 sec
copied files from c0018 node:567720 sec
copied files from c0018 node:574560 sec
copied files from c0018 node:581400 sec
copied files from c0018 node:588240 sec
copied files from c0018 node:595080 sec
copied files from c0018 node:601920 sec
